"","Id","MSSubClass","MSZoning","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"RL",9.04192172035122,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.27811465923052,"Gd","TA","PConc","Gd","TA","No","GLQ",6.55961523749324,"Unf",0,5.01063529409626,6.75227037614174,"GasA","Ex","Y","SBrkr",6.75227037614174,6.74993119378857,0,7.44424864949671,1,0,2,1,3,1,"Gd",8,"Typ",0,"Attchd",2003,"RFn",2,6.30627528694802,"TA","TA","Y",0,4.11087386417331,0,0,0,0,0,2,2008,"WD","Normal",12.247694320221
"2",2,20,"RL",9.16951837745593,"Reg","Lvl","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.88550967003482,"Unf",0,5.64897423816121,7.14045304310116,"GasA","Ex","Y","SBrkr",7.14045304310116,0,0,7.14045304310116,0,1,2,0,3,1,"TA",6,"Typ",1,"Attchd",1976,"RFn",2,6.13122648948314,"TA","TA","Y",5.6970934865054,0,0,0,0,0,0,5,2007,"WD","Normal",12.109010932687
"3",3,60,"RL",9.32812340763257,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.08759633523238,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18620862390049,"Unf",0,6.07304453410041,6.82437367004309,"GasA","Ex","Y","SBrkr",6.82437367004309,6.76388490856244,0,7.48773376143644,1,0,2,1,3,1,"Gd",6,"Typ",1,"Attchd",2001,"RFn",2,6.41017488196617,"TA","TA","Y",0,3.73766961828337,0,0,0,0,0,9,2008,"WD","Normal",12.3171666930358
"4",4,70,"RL",9.16429643347478,"IR1","Lvl","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37527840768417,"Unf",0,6.29156913955832,6.62804137617953,"GasA","Gd","Y","SBrkr",6.86797440897029,6.62804137617953,0,7.44833386089748,1,0,1,0,3,1,"Gd",7,"Typ",1,"Detchd",1998,"Unf",3,6.46458830368996,"TA","TA","Y",0,3.55534806148941,5.605802066296,0,0,0,0,2,2006,"WD","Abnorml",11.8493977015914
"5",5,60,"RL",9.56521369396829,"IR1","Lvl","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.85793315448346,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.48463523563525,"Unf",0,6.19440539110467,7.04315991598834,"GasA","Ex","Y","SBrkr",7.04315991598834,6.95939851213398,0,7.69530313496357,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",2000,"RFn",3,6.7286286130847,"TA","TA","Y",5.25749537202778,4.43081679884331,0,0,0,0,0,12,2008,"WD","Normal",12.4292161968444
"6",6,50,"RL",9.55499334068759,"IR1","Lvl","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",6.59578051396131,"Unf",0,4.15888308335967,6.67959918584438,"GasA","Ex","Y","SBrkr",6.67959918584438,6.33859407820318,0,7.21670948670946,1,0,1,1,1,1,"TA",5,"Typ",0,"Attchd",1993,"Unf",2,6.17378610390194,"TA","TA","Y",3.68887945411394,3.40119738166216,0,5.76832099579377,0,0,6.5510803350434,10,2009,"WD","Normal",11.870599909242
"7",7,20,"RL",9.21870528830781,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",5.2257466737132,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22183582528845,"Unf",0,5.75890177387728,7.4301141385618,"GasA","Ex","Y","SBrkr",7.434847875212,0,0,7.434847875212,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2004,"RFn",2,6.45519856334012,"TA","TA","Y",5.54126354515843,4.04305126783455,0,0,0,0,0,8,2007,"WD","Normal",12.6346030265693
"8",8,60,"RL",9.24782881638717,"IR1","Lvl","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",5.48063892334199,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75576892198425,"BLQ",3.46573590279973,5.37527840768417,7.00940893270864,"GasA","Ex","Y","SBrkr",7.00940893270864,6.89060912014717,0,7.64491934495886,1,0,2,1,3,1,"TA",7,"Typ",2,"Attchd",1973,"RFn",2,6.18208490671663,"TA","TA","Y",5.45958551414416,5.31811999384422,5.42934562895444,0,0,0,5.85793315448346,11,2009,"WD","Normal",12.2060726455302
"9",9,50,"RM",8.71931737550637,"Reg","Lvl","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.85856503479136,6.85856503479136,"GasA","Gd","Y","FuseF",6.92951677076365,6.62273632394984,0,7.48099216286952,0,0,2,0,2,2,"TA",8,"Min1",2,"Detchd",1931,"Unf",2,6.14846829591765,"Fa","TA","Y",4.49980967033027,0,5.32300997913841,0,0,0,0,4,2008,"WD","Abnorml",11.7745202026587
"10",10,190,"RL",8.91193433616143,"Reg","Lvl","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74641212857337,"Unf",0,4.9416424226093,6.89871453432999,"GasA","Ex","Y","SBrkr",6.98193467715639,0,0,6.98193467715639,1,0,1,0,2,2,"TA",5,"Typ",2,"Attchd",1939,"RFn",1,5.32300997913841,"Gd","TA","Y",0,1.38629436111989,0,0,0,0,0,1,2008,"WD","Normal",11.6784399034478
"11",11,20,"RL",9.32366905728319,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",6.80903930604298,"Unf",0,4.89783979995091,6.94697599213542,"GasA","Ex","Y","SBrkr",6.94697599213542,0,0,6.94697599213542,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1965,"Unf",1,5.95064255258773,"TA","TA","Y",0,0,0,0,0,0,0,2,2008,"WD","Normal",11.7714361601217
"12",12,60,"RL",9.38630845479796,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",5.65599181081985,"Ex","TA","PConc","Ex","TA","No","GLQ",6.90575327631146,"Unf",0,5.17614973257383,7.06902342657826,"GasA","Ex","Y","SBrkr",7.07496319796604,7.04053639021596,0,7.7510451179718,1,0,3,0,4,1,"Ex",11,"Typ",2,"BuiltIn",2005,"Fin",3,6.60123011872888,"TA","TA","Y",4.99043258677874,3.04452243772342,0,0,0,0,0,7,2006,"New","Partial",12.7512996960135
"13",13,20,"RL",9.47024006341551,"IR2","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",6.60258789218934,"Unf",0,5.16478597392351,6.81563999007433,"GasA","TA","Y","SBrkr",6.81563999007433,0,0,6.81563999007433,1,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1962,"Unf",1,5.8636311755981,"TA","TA","Y",4.9416424226093,0,0,0,5.17048399503815,0,0,9,2008,"WD","Normal",11.8775685785581
"14",14,20,"RL",9.27350294693382,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",5.72358510195238,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,7.30921236569276,7.30921236569276,"GasA","Ex","Y","SBrkr",7.30921236569276,0,0,7.30921236569276,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2006,"RFn",3,6.73340189183736,"TA","TA","Y",5.07517381523383,3.49650756146648,0,0,0,0,0,8,2007,"New","Partial",12.5407575715773
"15",15,20,"RL",9.2983512492989,"IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",5.35658627467201,"TA","TA","CBlock","TA","TA","No","BLQ",6.59714570188665,"Unf",0,6.25382881157547,7.13329595489607,"GasA","TA","Y","SBrkr",7.13329595489607,0,0,7.13329595489607,1,0,1,1,2,1,"TA",5,"Typ",1,"Attchd",1960,"RFn",1,5.8636311755981,"TA","TA","Y",0,5.36129216570943,5.17048399503815,0,0,0,0,5,2008,"WD","Normal",11.9640010843304
"16",16,45,"RM",8.71931737550637,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.72383244082121,6.72383244082121,"GasA","Ex","Y","FuseA",6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1991,"Unf",2,6.35610766069589,"TA","TA","Y",3.87120101090789,4.71849887129509,0,0,0,0,0,7,2007,"WD","Normal",11.7905572015685
"17",17,20,"RL",9.3273230874618,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",5.19295685089021,"TA","TA","CBlock","TA","TA","No","ALQ",6.35957386867238,"Unf",0,6.05443934626937,6.91174730025167,"GasA","Ex","Y","SBrkr",6.91174730025167,0,0,6.91174730025167,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd",1970,"Fin",2,6.17378610390194,"TA","TA","Y",0,0,0,0,0,0,6.5510803350434,3,2010,"WD","Normal",11.9117015849276
"18",18,90,"RL",9.28646773236373,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","TA","TA","Av","Unf",0,"Unf",0,0,0,"GasA","TA","Y","SBrkr",7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,"TA",6,"Typ",0,"CarPort",1967,"Unf",2,6.24610676548156,"TA","TA","Y",0,0,0,0,0,0,6.21460809842219,10,2006,"WD","Normal",11.4075649493124
