"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"RL",65,9.04192172035122,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",5.27811465923052,"Gd","TA","PConc","Gd","No","GLQ",6.55961523749324,0,5.01063529409626,6.75227037614174,"Ex","Y","SBrkr",6.75227037614174,6.74993119378857,0,7.44424864949671,1,0,2,1,3,1,"Gd",8,0,"Attchd",2003,"RFn",2,6.30627528694802,"Y",0,0,0,0,0,2,2008,"WD","Normal",12.247694320221
"2",2,20,"RL",80,9.16951837745593,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","Gd","ALQ",6.88550967003482,0,5.64897423816121,7.14045304310116,"Ex","Y","SBrkr",7.14045304310116,0,0,7.14045304310116,0,1,2,0,3,1,"TA",6,1,"Attchd",1976,"RFn",2,6.13122648948314,"Y",0,0,0,0,0,5,2007,"WD","Normal",12.109010932687
"3",3,60,"RL",68,9.32812340763257,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",5.08759633523238,"Gd","TA","PConc","Gd","Mn","GLQ",6.18620862390049,0,6.07304453410041,6.82437367004309,"Ex","Y","SBrkr",6.82437367004309,6.76388490856244,0,7.48773376143644,1,0,2,1,3,1,"Gd",6,1,"Attchd",2001,"RFn",2,6.41017488196617,"Y",0,0,0,0,0,9,2008,"WD","Normal",12.3171666930358
"4",4,70,"RL",60,9.16429643347478,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","No","ALQ",5.37527840768417,0,6.29156913955832,6.62804137617953,"Gd","Y","SBrkr",6.86797440897029,6.62804137617953,0,7.44833386089748,1,0,1,0,3,1,"Gd",7,1,"Detchd",1998,"Unf",3,6.46458830368996,"Y",5.605802066296,0,0,0,0,2,2006,"WD","Abnorml",11.8493977015914
"5",5,60,"RL",84,9.56521369396829,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",5.85793315448346,"Gd","TA","PConc","Gd","Av","GLQ",6.48463523563525,0,6.19440539110467,7.04315991598834,"Ex","Y","SBrkr",7.04315991598834,6.95939851213398,0,7.69530313496357,1,0,2,1,4,1,"Gd",9,1,"Attchd",2000,"RFn",3,6.7286286130847,"Y",0,0,0,0,0,12,2008,"WD","Normal",12.4292161968444
"6",6,50,"RL",85,9.55499334068759,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","No","GLQ",6.59578051396131,0,4.15888308335967,6.67959918584438,"Ex","Y","SBrkr",6.67959918584438,6.33859407820318,0,7.21670948670946,1,0,1,1,1,1,"TA",5,0,"Attchd",1993,"Unf",2,6.17378610390194,"Y",0,5.76832099579377,0,0,6.5510803350434,10,2009,"WD","Normal",11.870599909242
"7",7,20,"RL",75,9.21870528830781,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",5.2257466737132,"Gd","TA","PConc","Ex","Av","GLQ",7.22183582528845,0,5.75890177387728,7.4301141385618,"Ex","Y","SBrkr",7.434847875212,0,0,7.434847875212,1,0,2,0,3,1,"Gd",7,1,"Attchd",2004,"RFn",2,6.45519856334012,"Y",0,0,0,0,0,8,2007,"WD","Normal",12.6346030265693
"8",8,60,"RL",75.9993112180202,9.24782881638717,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",5.48063892334199,"TA","TA","CBlock","Gd","Mn","ALQ",6.75576892198425,3.46573590279973,5.37527840768417,7.00940893270864,"Ex","Y","SBrkr",7.00940893270864,6.89060912014717,0,7.64491934495886,1,0,2,1,3,1,"TA",7,2,"Attchd",1973,"RFn",2,6.18208490671663,"Y",5.42934562895444,0,0,0,5.85793315448346,11,2009,"WD","Normal",12.2060726455302
"9",9,50,"RM",51,8.71931737550637,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,0,6.85856503479136,6.85856503479136,"Gd","Y","FuseF",6.92951677076365,6.62273632394984,0,7.48099216286952,0,0,2,0,2,2,"TA",8,2,"Detchd",1931,"Unf",2,6.14846829591765,"Y",5.32300997913841,0,0,0,0,4,2008,"WD","Abnorml",11.7745202026587
"10",10,190,"RL",50,8.91193433616143,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","GLQ",6.74641212857337,0,4.9416424226093,6.89871453432999,"Ex","Y","SBrkr",6.98193467715639,0,0,6.98193467715639,1,0,1,0,2,2,"TA",5,2,"Attchd",1939,"RFn",1,5.32300997913841,"Y",0,0,0,0,0,1,2008,"WD","Normal",11.6784399034478
"11",11,20,"RL",70,9.32366905728319,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","Rec",6.80903930604298,0,4.89783979995091,6.94697599213542,"Ex","Y","SBrkr",6.94697599213542,0,0,6.94697599213542,1,0,1,0,3,1,"TA",5,0,"Detchd",1965,"Unf",1,5.95064255258773,"Y",0,0,0,0,0,2,2008,"WD","Normal",11.7714361601217
